graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 8; 1; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 6; 2 -- 9; 3; 3 -- 7; 3 -- 8; 4; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 8; 5 -- 9; 6; 6 -- 7; 7; 8; 8 -- 9; 9;},I`?DIu[ZG,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 0 -- 8; 1; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 6; 2 -- 9; 3; 3 -- 7; 3 -- 8; 4; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 8; 5 -- 9; 6; 6 -- 7; 7; 8; 8 -- 9; 9;},I`?DIu[ZG,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 7; 4; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G@hRSk,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 7; 4; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G@hRSk,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 7; 4; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G@hRSk,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 7; 4; 4 -- 6; 5; 5 -- 7; 6; 6 -- 7; 7;},G@hRSk,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 5; 5 -- 7; 6; 6 -- 7; 7;},G?xPcK,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 5; 5 -- 7; 6; 6 -- 7; 7;},G?xPcK,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 5; 5 -- 7; 6; 6 -- 7; 7;},G?xPcK,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 4; 0 -- 7; 1; 1 -- 4; 1 -- 5; 2; 2 -- 4; 2 -- 6; 3; 3 -- 5; 3 -- 6; 4; 5; 5 -- 7; 6; 6 -- 7; 7;},G?xPcK,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 7; 0 -- 9; 1; 1 -- 3; 1 -- 8; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 9; 4; 4 -- 5; 4 -- 7; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 8; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IA?HcPfnW,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 7; 0 -- 9; 1; 1 -- 3; 1 -- 8; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 9; 4; 4 -- 5; 4 -- 7; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 8; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IA?HcPfnW,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 7; 0 -- 9; 1; 1 -- 3; 1 -- 8; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 9; 4; 4 -- 5; 4 -- 7; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 8; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IA?HcPfnW,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 7; 0 -- 9; 1; 1 -- 3; 1 -- 8; 2; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 9; 4; 4 -- 5; 4 -- 7; 4 -- 9; 5; 5 -- 8; 5 -- 9; 6; 6 -- 8; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IA?HcPfnW,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},E_lw,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},E_lw,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},E_lw,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 4; 1; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},E_lw,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 3; 0 -- 5; 1; 1 -- 4; 1 -- 6; 2; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 6; 4; 4 -- 5; 5; 6;},FCUj_,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 3; 0 -- 5; 1; 1 -- 4; 1 -- 6; 2; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 6; 4; 4 -- 5; 5; 6;},FCUj_,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 3; 0 -- 5; 1; 1 -- 4; 1 -- 6; 2; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 6; 4; 4 -- 5; 5; 6;},FCUj_,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 3; 0 -- 5; 1; 1 -- 4; 1 -- 6; 2; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 6; 4; 4 -- 5; 5; 6;},FCUj_,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 6; 0 -- 9; 1; 1 -- 7; 1 -- 8; 2; 2 -- 4; 2 -- 6; 2 -- 7; 3; 3 -- 5; 3 -- 6; 3 -- 8; 4; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 9; 6; 7; 8; 9;},I?GTbHWb?,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 6; 0 -- 9; 1; 1 -- 7; 1 -- 8; 2; 2 -- 4; 2 -- 6; 2 -- 7; 3; 3 -- 5; 3 -- 6; 3 -- 8; 4; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 9; 6; 7; 8; 9;},I?GTbHWb?,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 6; 0 -- 9; 1; 1 -- 7; 1 -- 8; 2; 2 -- 4; 2 -- 6; 2 -- 7; 3; 3 -- 5; 3 -- 6; 3 -- 8; 4; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 9; 6; 7; 8; 9;},I?GTbHWb?,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 6; 0 -- 9; 1; 1 -- 7; 1 -- 8; 2; 2 -- 4; 2 -- 6; 2 -- 7; 3; 3 -- 5; 3 -- 6; 3 -- 8; 4; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 9; 6; 7; 8; 9;},I?GTbHWb?,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 2; 2;},Bw,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 2; 2;},Bw,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 2; 2;},Bw,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 1; 1 -- 2; 2;},Bw,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 5; 1; 1 -- 6; 2; 2 -- 3; 2 -- 6; 3; 3 -- 5; 4; 4 -- 5; 4 -- 6; 5; 6;},F`AZO,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 5; 1; 1 -- 6; 2; 2 -- 3; 2 -- 6; 3; 3 -- 5; 4; 4 -- 5; 4 -- 6; 5; 6;},F`AZO,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 5; 1; 1 -- 6; 2; 2 -- 3; 2 -- 6; 3; 3 -- 5; 4; 4 -- 5; 4 -- 6; 5; 6;},F`AZO,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 5; 1; 1 -- 6; 2; 2 -- 3; 2 -- 6; 3; 3 -- 5; 4; 4 -- 5; 4 -- 6; 5; 6;},F`AZO,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 4; 1; 1 -- 3; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},Eqlw,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 4; 1; 1 -- 3; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},Eqlw,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 4; 1; 1 -- 3; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},Eqlw,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 4; 1; 1 -- 3; 1 -- 5; 2; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},Eqlw,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 1; 1 -- 7; 2; 2 -- 5; 2 -- 8; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 7; 5; 6; 6 -- 8; 7; 7 -- 8; 8;},H_?{aOb,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 1; 1 -- 7; 2; 2 -- 5; 2 -- 8; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 7; 5; 6; 6 -- 8; 7; 7 -- 8; 8;},H_?{aOb,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 1; 1 -- 7; 2; 2 -- 5; 2 -- 8; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 7; 5; 6; 6 -- 8; 7; 7 -- 8; 8;},H_?{aOb,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 6; 1; 1 -- 7; 2; 2 -- 5; 2 -- 8; 3; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 7; 5; 6; 6 -- 8; 7; 7 -- 8; 8;},H_?{aOb,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 1; 0 -- 7; 1; 1 -- 6; 2; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 6; 4 -- 9; 5; 5 -- 7; 5 -- 8; 6; 7; 8; 8 -- 9; 9;},I_?BSgcEG,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 7; 1; 1 -- 6; 2; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 6; 4 -- 9; 5; 5 -- 7; 5 -- 8; 6; 7; 8; 8 -- 9; 9;},I_?BSgcEG,bin/okp-recognition-full,ilp,,,
graph G {  0; 0 -- 1; 0 -- 7; 1; 1 -- 6; 2; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 6; 4 -- 9; 5; 5 -- 7; 5 -- 8; 6; 7; 8; 8 -- 9; 9;},I_?BSgcEG,bin/okp-recognition-cro,ilp,,,
graph G {  0; 0 -- 1; 0 -- 7; 1; 1 -- 6; 2; 2 -- 6; 2 -- 8; 3; 3 -- 7; 3 -- 9; 4; 4 -- 6; 4 -- 9; 5; 5 -- 7; 5 -- 8; 6; 7; 8; 8 -- 9; 9;},I_?BSgcEG,bin/okp-recognition,ilp,,,
graph G {  0; 0 -- 3; 0 -- 6; 1; 1 -- 5; 1 -- 8; 2; 2 -- 4; 2 -- 7; 3; 3 -- 6; 3 -- 8; 4; 4 -- 6; 4 -- 7; 5; 5 -- 7; 5 -- 8; 6; 6 -- 7; 6 -- 8; 7; 7 -- 8; 8;},HCHCp\V,bin/okp-recognition-full-cro,ilp,,,
graph G {  0; 0 -- 3; 0 -- 6; 1; 1 -- 5; 1 -- 8; 2; 2 -- 4; 2 -- 7; 3; 3 -- 6; 3 -- 8; 4; 4 -- 6; 4 -- 7; 5; 5 -- 7; 5 -- 8; 6; 6 -- 7; 6 -- 8; 7; 7 -- 8; 8;},HCHCp\V,bin/okp-recognition-full,ilp,,,
