graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj --no_bct,ilp,1.0,70270917.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj --no_bct,sat,1.0,602792.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 6; 1; 1 -- 2; 1 -- 6; 2; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 7; 5; 5 -- 7; 6; 6 -- 7; 7;},GwC^?{,bin/okp-recognition-obj --no_bct,dp,1.0,503052.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj,ilp,0.0,5937589.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj,sat,0.0,139165.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj,dp,0.0,126939.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj --no_bct,ilp,0.0,4776629.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj --no_bct,sat,0.0,149969.0,True
graph G {  0; 0 -- 8; 1; 1 -- 6; 1 -- 8; 2; 2 -- 7; 2 -- 8; 3; 3 -- 4; 3 -- 5; 4; 4 -- 6; 5; 5 -- 7; 6; 7; 8;},H?CQPJ_,bin/okp-recognition-obj --no_bct,dp,0.0,150327.0,True
graph G {  0; 0 -- 6; 1; 1 -- 7; 2; 2 -- 8; 3; 3 -- 5; 3 -- 7; 4; 4 -- 5; 4 -- 8; 5; 6; 6 -- 7; 6 -- 8; 7; 8;},H??[Aci,bin/okp-recognition-obj,ilp,0.0,3900822.0,True
